acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,rnncell,reverse_grad_weight,dropout_rate,diff_weight,sim_weight,recon_weight,lr,gamma,hidden_size
58.58,52.65,53.57,52.11,0.5259,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-16-50-10,lstm,0.2,0.2,0.3,0.5,0.1,2.9999999999999997e-05,0.5,768.0
58.39,53.31,54.23,52.89,0.5405,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-17-08-47,lstm,0.2,0.3,0.1,0.1,0.3,2e-05,0.5,256.0
57.6,51.94,53.33,51.32,0.5396,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-17-26-51,lstm,0.2,0.3,0.1,0.1,0.3,2.9999999999999997e-05,0.5,256.0
58.63,52.74,53.19,52.59,0.5273,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-17-44-57,lstm,0.2,0.3,0.1,0.1,0.1,2e-05,0.5,256.0
57.4,51.74,52.74,51.21,0.5324,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-18-02-59,lstm,0.2,0.3,0.1,0.1,0.1,2.9999999999999997e-05,0.5,256.0
57.35,51.16,52.71,50.49,0.5316,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-18-20-56,lstm,0.2,0.3,0.1,0.5,0.3,2e-05,0.5,256.0
56.86,51.31,52.4,50.78,0.5539999999999999,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-18-39-45,lstm,0.2,0.3,0.1,0.5,0.3,2.9999999999999997e-05,0.5,256.0
57.75,51.55,53.57,50.95,0.5319,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-19-01-39,lstm,0.2,0.3,0.1,0.5,0.1,2e-05,0.5,256.0
57.65,51.95,52.85,51.69,0.5186,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-19-15-18,lstm,0.2,0.3,0.1,0.5,0.1,2.9999999999999997e-05,0.5,256.0
57.85,52.58,54.13,51.91,0.5363,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-19-33-18,lstm,0.2,0.3,0.3,0.1,0.3,2e-05,0.5,256.0
57.45,51.99,52.99,51.6,0.5272,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-19-53-39,lstm,0.2,0.3,0.3,0.1,0.3,2.9999999999999997e-05,0.5,256.0
58.29,52.43,53.29,51.98,0.5242,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-20-06-21,lstm,0.2,0.3,0.3,0.1,0.1,2e-05,0.5,256.0
56.91,51.16,52.54,50.82,0.5137,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-20-25-09,lstm,0.2,0.3,0.3,0.1,0.1,2.9999999999999997e-05,0.5,256.0
57.7,52.37,53.87,52.29,0.5411,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-20-37-15,lstm,0.2,0.3,0.3,0.5,0.3,2e-05,0.5,256.0
58.09,52.11,53.79,51.54,0.5383,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-20-49-10,lstm,0.2,0.3,0.3,0.5,0.3,2.9999999999999997e-05,0.5,256.0
58.19,52.45,53.19,52.21,0.5273,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-21-09-11,lstm,0.2,0.3,0.3,0.5,0.1,2e-05,0.5,256.0
56.76,51.06,51.94,50.84,0.5428,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-21-25-10,lstm,0.2,0.3,0.3,0.5,0.1,2.9999999999999997e-05,0.5,256.0
